config,failure70,failure80,severe50
band_narrow,0.6981719017190927,0.71847298539434,0.6222606426940791
band_wide,0.6739936731439443,0.7037306224657371,0.5899979652583086
default,0.7015023072234113,0.7216172251831252,0.6257571461905826
jitter_pm12,0.6966131100500742,0.7341129849892202,0.5936948558687689
jitter_pm3,0.7142359557695087,0.6899696431652922,0.601939971792913
neg_none,0.7047074354285395,0.7152731538857828,0.6177151881486247
neg_random,0.7015023072234113,0.7216172251831252,0.6257571461905826
scale_narrow,0.7163358289648277,0.7314111866661469,0.6166662370996736
scale_wider,0.7111621946610766,0.7324506378022521,0.611559647782558
