sample_idx,dataset,stage,image_id,base_dice,base_iou,failure70,failure80,severe50,sprc_cb_score,sprc_pp_r_score,sam_confidence_risk,mask_iou_disagreement,linear_sprc_score
46,Kvasir-SEG,stage1_id,cju2y0z6g87p10878fpk5d3rq,0.9547468446672722,0.9134120665374708,0,0,0,0.661111111111111,0.6844444444444444,-0.9612253904342652,0.0498332899933773,0.319722421971852
47,Kvasir-SEG,stage1_id,cju2y26c588bo07993ksd8eoz,0.923643683945662,0.8581207451186287,0,0,0,0.3491666666666666,0.4766666666666666,-0.9815335273742676,0.008346947126219,-0.2015048516614832
48,Kvasir-SEG,stage1_id,cju2y40d8ulqo0993q0adtgtb,0.9275082246301876,0.8648161654296913,0,0,0,0.6425000000000001,0.6381481481481481,-0.9565935134887696,0.0622946882142885,0.0491546257472224
49,Kvasir-SEG,stage1_id,cju2yi9tz8vky0801yqip0xyl,0.8695786721131448,0.7692518273153048,0,0,0,0.7944444444444445,0.8103703703703703,-0.9372616410255432,0.1174974496896895,0.6443302556295684
50,Kvasir-SEG,stage1_id,cju2yljr0yzhw0988ecf271ly,0.9600155678597138,0.9231057102306855,0,0,0,0.6555555555555556,0.745925925925926,-0.95448237657547,0.0604021244837162,0.9000826958623197
51,Kvasir-SEG,stage1_id,cju2ysg748ru80878sp6j0gm0,0.6967373457250943,0.5346100752904295,1,1,0,0.8958333333333334,0.9233333333333332,-0.9277584552764891,0.1227238747846647,2.1595096236804467
52,Kvasir-SEG,stage1_id,cju2z6ez69g4u0801qwt088lw,0.8697955901646337,0.769591396561038,0,0,0,0.3454166666666666,0.3487037037037037,-0.950864851474762,0.003840045504181,-0.1122789297483558
53,Kvasir-SEG,stage1_id,cju2zdhsczmn50988z64qwg2q,0.6416234693954145,0.4723458149780317,1,1,0,0.8088888888888888,0.8044444444444444,-0.9138866066932678,0.0840420942713661,0.6776068789410931
54,Kvasir-SEG,stage1_id,cju2zdvjn9h7r08553cp4eed5,0.8382830442702787,0.7215897470858808,0,0,0,0.8443055555555555,0.8398148148148148,-0.9136568903923036,0.1464859140825395,0.413892885676943
55,Kvasir-SEG,stage1_id,cju2zgbj9zmrw0835nnlzxj4c,0.9226819036597754,0.8564618999664455,0,0,0,0.7641666666666667,0.8318518518518517,-0.954474687576294,0.0835865976672879,0.9298378993301284
56,Kvasir-SEG,stage1_id,cju2zkpdl9h7t0799ix60teqg,0.9138527990127476,0.8413710390103262,0,0,0,0.72,0.7533333333333334,-0.9597910046577454,0.0104422833817471,-0.2277013562067732
57,Kvasir-SEG,stage1_id,cju2zo0fwzv580988qlijd2xa,0.7726286063518635,0.6294986263737536,0,1,0,0.8945833333333333,0.8861111111111111,-0.8775965571403503,0.1607069533856607,2.416847474040572
58,Kvasir-SEG,stage1_id,cju2zrojo9kcd0878ld2epejq,0.9356949535784248,0.8791604970064514,0,0,0,0.3698611111111111,0.4909259259259259,-0.9774383306503296,0.0242458840204825,-0.1618780434756436
59,Kvasir-SEG,stage1_id,cju320gyvbch60801v2amdi2g,0.8834790992355978,0.7912786035897377,0,0,0,0.9038888888888889,0.9125925925925924,-0.864895761013031,0.2232858700721329,2.2780727098116427
60,Kvasir-SEG,stage1_id,cju32qr9tbvsj08013pkpjenq,0.8963220328529643,0.8121227926384725,0,0,0,0.7283333333333334,0.8162962962962963,-0.9584898948669434,0.117516735564917,0.4275988118301476
61,Kvasir-SEG,stage1_id,cju3381d8bz3h07991xtl7ra0,0.8964947317678202,0.8124063904144955,0,0,0,0.6847222222222222,0.6848148148148149,-0.9548690915107728,0.0548924578271734,0.2590387173917273
62,Kvasir-SEG,stage1_id,cju33jon3ygbj0993pu22a4k6,0.9192100538599932,0.8504983388705313,0,0,0,0.7231944444444445,0.7472222222222222,-0.9550987482070924,0.1730544686077532,1.0380089148026077
63,Kvasir-SEG,stage1_id,cju33qpdvc9g0087825jhf3s9,0.9280100597296772,0.8656891495602298,0,0,0,0.3211111111111111,0.3633333333333333,-0.9744815230369568,0.004852040313978,-0.2532560890998767
