eval_group,set,target,method,n,pos,auprc,auroc,failure_rate,mean_dice,noise,diff_vs_sam_auprc,diff_ci_low,diff_ci_high,diff_p
noise=0.00,pooled_heldout,failure,SPRC-CB,525,28,0.46167357367068396,0.9321284851968956,0.05333333333333334,0.8926362754857672,0.0,0.14506484403473005,0.0452453520547339,0.2511445160871608,0.0
noise=0.00,pooled_heldout,failure,SAM IoU min,525,28,0.3194845213212446,0.9088818626041967,0.05333333333333334,0.8926362754857672,0.0,,,,
noise=0.00,pooled_heldout,failure,Prompt-pert. unc.,525,28,0.35797986379413593,0.8950847944811727,0.05333333333333334,0.8926362754857672,0.0,,,,
noise=0.00,pooled_heldout,failure,Mask IoU disag.,525,28,0.3803249486763731,0.8970968669157805,0.05333333333333334,0.8926362754857672,0.0,,,,
noise=0.00,pooled_heldout,failure,SPRC no-conf top2,525,28,0.46115937583172684,0.9066901408450705,0.05333333333333334,0.8926362754857672,0.0,,,,
noise=0.00,CVC-ClinicDB,failure,SPRC-CB,150,10,0.43936611650652535,0.9146428571428571,0.06666666666666667,0.8886431308238336,0.0,,,,
noise=0.00,CVC-ClinicDB,failure,SAM IoU min,150,10,0.2681256907744272,0.8378571428571429,0.06666666666666667,0.8886431308238336,0.0,,,,
noise=0.00,CVC-ClinicDB,failure,Prompt-pert. unc.,150,10,0.4810629346988373,0.9228571428571428,0.06666666666666667,0.8886431308238336,0.0,,,,
noise=0.00,CVC-ClinicDB,failure,Mask IoU disag.,150,10,0.5271649184149184,0.9321428571428572,0.06666666666666667,0.8886431308238336,0.0,,,,
noise=0.00,CVC-ClinicDB,failure,SPRC no-conf top2,150,10,0.45305098410361566,0.9514285714285714,0.06666666666666667,0.8886431308238336,0.0,,,,
noise=0.00,CVC-ColonDB,failure,SPRC-CB,150,3,0.0680489101541733,0.800453514739229,0.02,0.8936195080922801,0.0,,,,
noise=0.00,CVC-ColonDB,failure,SAM IoU min,150,3,0.0900093370681606,0.8616780045351474,0.02,0.8936195080922801,0.0,,,,
noise=0.00,CVC-ColonDB,failure,Prompt-pert. unc.,150,3,0.07153502235469449,0.6848072562358276,0.02,0.8936195080922801,0.0,,,,
noise=0.00,CVC-ColonDB,failure,Mask IoU disag.,150,3,0.08020770316596088,0.6961451247165533,0.02,0.8936195080922801,0.0,,,,
noise=0.00,CVC-ColonDB,failure,SPRC no-conf top2,150,3,0.04658949040971513,0.5850340136054422,0.02,0.8936195080922801,0.0,,,,
noise=0.00,ETIS-Larib,failure,SPRC-CB,150,6,0.8412698412698413,0.9733796296296297,0.04,0.9116012223285692,0.0,,,,
noise=0.00,ETIS-Larib,failure,SAM IoU min,150,6,0.736111111111111,0.9791666666666666,0.04,0.9116012223285692,0.0,,,,
noise=0.00,ETIS-Larib,failure,Prompt-pert. unc.,150,6,0.8470319634703196,0.9224537037037037,0.04,0.9116012223285692,0.0,,,,
noise=0.00,ETIS-Larib,failure,Mask IoU disag.,150,6,0.8470319634703196,0.9224537037037037,0.04,0.9116012223285692,0.0,,,,
noise=0.00,ETIS-Larib,failure,SPRC no-conf top2,150,6,0.7074314574314573,0.9097222222222222,0.04,0.9116012223285692,0.0,,,,
noise=0.00,Kvasir-SEG,failure,SPRC-CB,75,9,0.6686347603014269,0.941077441077441,0.12,0.8607262059110043,0.0,,,,
noise=0.00,Kvasir-SEG,failure,SAM IoU min,75,9,0.5919810209283894,0.9276094276094276,0.12,0.8607262059110043,0.0,,,,
noise=0.00,Kvasir-SEG,failure,Prompt-pert. unc.,75,9,0.46668552943062747,0.9057239057239057,0.12,0.8607262059110043,0.0,,,,
noise=0.00,Kvasir-SEG,failure,Mask IoU disag.,75,9,0.4600769600769601,0.9057239057239057,0.12,0.8607262059110043,0.0,,,,
